No,자료시점,분류,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,분류,계,기소(소계),기소(소계),기소(소계),기소(소계),소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소(소계),불기소(소계),불기소(소계),불기소(소계),불기소(소계),기소중지,참고인중지,공소보류
No,자료시점,분류,분류,분류,분류,계,기소(소계),구공판 구속,구공판 불구속,구약식,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소(소계),기소유예,혐의없음,죄가안됨,공소권없음,기소중지,참고인중지,공소보류
No,자료시점,분류,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
158,2018년,특별법범,농지법,농지법,농지법,"1,072",511,1,74,436,0,0,0,0,556,110,273,0,173,4,1,0
159,2018년,특별법범,대기환경보전법,대기환경보전법,대기환경보전법,"3,938","2,948",1,59,"2,888",0,0,0,0,989,568,407,0,14,1,0,0
160,2018년,특별법범,대부업등의등록및금융이용자보호에관한법률,대부업등의등록및금융이용자보호에관한법률,대부업등의등록및금융이용자보호에관한법률,"2,291","1,446",49,336,"1,061",1,0,0,0,680,323,322,0,35,156,8,0
161,2018년,특별법범,도로교통법,도로교통법,도로교통법,"15,665","7,002",14,515,"6,473",243,0,0,0,"7,773","3,357","1,541",8,"2,867",639,8,0
162,2018년,특별법범,도로교통법(무면허운전),도로교통법(무면허운전),도로교통법(무면허운전),"25,628","19,030",68,"2,331","16,631","1,237",0,0,0,"4,993","2,981","1,769",6,237,363,5,0
163,2018년,특별법범,도로교통법(사고후미조치),도로교통법(사고후미조치),도로교통법(사고후미조치),"15,383","5,526",23,629,"4,874",83,0,0,0,"8,039","2,792","4,907",10,330,"1,733",2,0
164,2018년,특별법범,도로교통법(음주운전),도로교통법(음주운전),도로교통법(음주운전),"141,104","135,298",449,"13,748","121,101",222,0,0,0,"5,136","2,619","2,141",15,361,443,5,0
165,2018년,특별법범,도로교통법(음주측정거부),도로교통법(음주측정거부),도로교통법(음주측정거부),"2,805","2,648",35,795,"1,818",2,0,0,0,143,26,105,2,10,12,0,0
166,2018년,특별법범,도로법,도로법,도로법,"2,677","1,305",1,6,"1,298",0,0,0,0,"1,358",445,888,0,25,12,2,0
167,2018년,특별법범,도시및주거환경정비법,도시및주거환경정비법,도시및주거환경정비법,605,130,1,21,108,0,0,0,0,475,25,441,0,9,0,0,0
168,2018년,특별법범,독점규제및공정거래에관한법률,독점규제및공정거래에관한법률,독점규제및공정거래에관한법률,160,141,1,103,37,0,0,0,0,19,0,10,0,9,0,0,0
169,2018년,특별법범,디자인보호법,디자인보호법,디자인보호법,321,36,0,7,29,0,0,0,0,270,2,173,0,95,15,0,0
170,2018년,특별법범,마약류관리에관한법률(대마),마약류관리에관한법률(대마),마약류관리에관한법률(대마),"1,175",674,239,399,36,1,0,0,0,438,271,155,0,12,58,4,0
171,2018년,특별법범,마약류관리에관한법률(마약),마약류관리에관한법률(마약),마약류관리에관한법률(마약),"1,308",119,32,28,59,0,0,0,0,"1,176","1,087",84,0,5,12,1,0
172,2018년,특별법범,마약류관리에관한법률(향정),마약류관리에관한법률(향정),마약류관리에관한법률(향정),"6,438","3,950","1,954","1,782",214,9,0,0,0,"2,062",964,"1,007",0,91,383,34,0
173,2018년,특별법범,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,234,231,19,0,212,0,0,0,0,2,1,0,0,1,1,0,0
174,2018년,특별법범,범죄수익은닉의규제및처벌등에관한법률,범죄수익은닉의규제및처벌등에관한법률,범죄수익은닉의규제및처벌등에관한법률,331,254,112,131,11,0,0,0,0,60,4,52,0,4,12,5,0
175,2018년,특별법범,변호사법,변호사법,변호사법,654,335,84,170,81,0,0,0,0,279,21,242,0,16,29,11,0
176,2018년,특별법범,병역법,병역법,병역법,"7,270","4,915",19,858,"4,038",0,0,0,0,"1,584","1,169",254,0,161,771,0,0
177,2018년,특별법범,보조금관리에관한법률,보조금관리에관한법률,보조금관리에관한법률,666,260,6,93,161,0,0,0,0,402,215,175,0,12,4,0,0
178,2018년,특별법범,부동산실권리자명의등기에관한법률,부동산실권리자명의등기에관한법률,부동산실권리자명의등기에관한법률,878,329,2,85,242,0,0,0,0,542,38,355,1,148,5,2,0
179,2018년,특별법범,부정경쟁방지및영업비밀보호에관한법률,부정경쟁방지및영업비밀보호에관한법률,부정경쟁방지및영업비밀보호에관한법률,855,175,18,76,81,0,0,0,0,644,58,570,0,16,32,4,0
180,2018년,특별법범,부정수표단속법,부정수표단속법,부정수표단속법,"1,021",353,11,178,164,1,0,0,0,599,21,190,0,388,56,12,0
181,2018년,특별법범,사행행위등규제및처벌특례법,사행행위등규제및처벌특례법,사행행위등규제및처벌특례법,415,326,31,114,181,0,0,0,0,71,35,22,0,14,18,0,0
182,2018년,특별법범,산림자원의조성및관리에관한법률,산림자원의조성및관리에관한법률,산림자원의조성및관리에관한법률,787,392,3,42,347,0,0,0,0,361,261,92,2,6,31,3,0
183,2018년,특별법범,산업안전보건법,산업안전보건법,산업안전보건법,"12,317","9,976",1,667,"9,308",0,0,0,0,"2,267","1,022","1,198",0,47,73,1,0
184,2018년,특별법범,산지관리법,산지관리법,산지관리법,"2,565","1,624",2,205,"1,417",0,0,0,0,926,440,303,1,182,15,0,0
185,2018년,특별법범,상표법,상표법,상표법,"3,360","1,618",33,141,"1,444",1,0,0,0,"1,652",803,828,0,21,79,10,0
186,2018년,특별법범,석유및석유대체연료사업법,석유및석유대체연료사업법,석유및석유대체연료사업법,974,478,12,103,363,0,0,0,0,481,146,309,0,26,12,3,0
187,2018년,특별법범,선박안전법,선박안전법,선박안전법,289,191,0,6,185,0,0,0,0,96,49,44,2,1,2,0,0
188,2018년,특별법범,선박직원법,선박직원법,선박직원법,184,141,0,2,139,0,0,0,0,41,32,9,0,0,2,0,0
189,2018년,특별법범,성매매알선등행위의처벌에관한법률,성매매알선등행위의처벌에관한법률,성매매알선등행위의처벌에관한법률,"14,507","5,317",278,"2,043","2,996",33,3,455,0,"8,223","5,964","1,958",3,298,420,56,0
190,2018년,특별법범,화재예방·소방시설설치유지및안전관리에관한법률,화재예방·소방시설설치유지및안전관리에관한법률,화재예방·소방시설설치유지및안전관리에관한법률,578,255,3,20,232,0,0,0,0,322,264,53,0,5,1,0,0
191,2018년,특별법범,수도법,수도법,수도법,184,88,0,3,85,0,0,0,0,96,67,26,0,3,0,0,0
192,2018년,특별법범,수산업법,수산업법,수산업법,"1,328","1,041",12,115,914,0,0,0,0,276,122,114,0,40,10,1,0
193,2018년,특별법범,수산자원관리법,수산자원관리법,수산자원관리법,"1,222",965,23,92,850,0,0,0,0,247,166,72,0,9,8,2,0
194,2018년,특별법범,물환경보전법,물환경보전법,물환경보전법,"1,235",812,3,45,764,0,0,0,0,418,242,172,0,4,5,0,0
195,2018년,특별법범,식품위생법,식품위생법,식품위생법,"8,320","4,998",4,152,"4,842",0,0,0,0,"3,271","1,969","1,142",4,156,43,8,0
196,2018년,특별법범,신용정보의이용및보호에관한법률,신용정보의이용및보호에관한법률,신용정보의이용및보호에관한법률,86,44,0,3,41,0,0,0,0,41,24,17,0,0,1,0,0
197,2018년,특별법범,아동·청소년의성보호에관한법률(성매수등),아동·청소년의성보호에관한법률(성매수등),아동·청소년의성보호에관한법률(성매수등),616,336,86,219,31,77,0,0,0,173,69,96,1,7,30,0,0
198,2018년,특별법범,아동·청소년의성보호에관한법률(음란물등),아동·청소년의성보호에관한법률(음란물등),아동·청소년의성보호에관한법률(음란물등),969,305,35,72,198,60,0,0,0,495,394,94,1,6,108,1,0
199,2018년,특별법범,아동복지법,아동복지법,아동복지법,"4,873",741,60,463,218,32,49,0,"2,384","1,601",576,974,12,39,64,2,0
200,2018년,특별법범,액화석유가스의안전관리및사업법,액화석유가스의안전관리및사업법,액화석유가스의안전관리및사업법,110,58,0,3,55,0,0,0,0,52,24,27,0,1,0,0,0
201,2018년,특별법범,약사법,약사법,약사법,"1,245",561,6,114,441,1,0,0,0,654,335,306,0,13,29,0,0
202,2018년,특별법범,여객자동차운수사업법,여객자동차운수사업법,여객자동차운수사업법,"1,070",649,2,62,585,0,0,0,0,411,106,278,0,27,9,1,0
203,2018년,특별법범,여신전문금융업법,여신전문금융업법,여신전문금융업법,"2,201",786,55,183,548,30,0,0,0,"1,078",505,533,3,37,253,54,0
204,2018년,특별법범,영유아보육법,영유아보육법,영유아보육법,348,166,1,46,119,0,0,0,0,182,80,102,0,0,0,0,0
205,2018년,특별법범,옥외광고물등의관리와옥외광고산업진흥에관한법률,옥외광고물등의관리와옥외광고산업진흥에관한법률,옥외광고물등의관리와옥외광고산업진흥에관한법률,426,261,0,11,250,0,0,0,0,134,61,62,0,11,30,1,0
206,2018년,특별법범,외국환거래법,외국환거래법,외국환거래법,864,662,24,108,530,0,0,0,0,169,77,69,0,23,31,2,0
207,2018년,특별법범,위험물안전관리법,위험물안전관리법,위험물안전관리법,712,459,0,10,449,0,0,0,0,251,179,46,0,26,2,0,0
208,2018년,특별법범,유사수신행위의규제에관한법률,유사수신행위의규제에관한법률,유사수신행위의규제에관한법률,"1,523",723,79,455,189,0,0,0,0,676,91,353,0,232,83,41,0
209,2018년,특별법범,의료기기법,의료기기법,의료기기법,789,358,1,11,346,0,0,0,0,428,271,149,1,7,2,1,0
210,2018년,특별법범,의료법,의료법,의료법,"5,843","2,421",31,270,"2,120",3,0,1,0,"3,251","1,737","1,344",3,167,147,20,0
211,2018년,특별법범,자동차관리법,자동차관리법,자동차관리법,"23,770","8,292",18,211,"8,063",52,0,0,0,"13,445","5,636","5,818",9,"1,982","1,926",55,0
212,2018년,특별법범,자동차손해배상보장법,자동차손해배상보장법,자동차손해배상보장법,"30,532","11,509",2,107,"11,400",114,0,0,0,"14,071","2,256","6,747",0,"5,068","4,759",79,0
213,2018년,특별법범,자본시장과금융투자업에관한법률,자본시장과금융투자업에관한법률,자본시장과금융투자업에관한법률,582,339,70,157,112,0,0,0,0,202,38,110,0,54,34,7,0
214,2018년,특별법범,저작권법,저작권법,저작권법,"11,835","1,077",7,96,974,1,0,0,0,"9,537","1,503","2,117",0,"5,917","1,197",23,0
215,2018년,특별법범,전자금융거래법,전자금융거래법,전자금융거래법,"23,552","9,317",474,"4,468","4,375",57,0,0,0,"13,146","7,755","4,423",1,967,"1,007",25,0
216,2018년,특별법범,전파법,전파법,전파법,688,319,0,3,316,0,0,0,0,366,337,29,0,0,2,1,0
217,2018년,특별법범,정보통신망이용촉진및정보보호등에관한법률,정보통신망이용촉진및정보보호등에관한법률,정보통신망이용촉진및정보보호등에관한법률,"16,242","3,768",85,641,"3,042",142,2,0,0,"9,457","2,928","3,872",81,"2,576","2,845",28,0
218,2018년,특별법범,조세범처벌법,조세범처벌법,조세범처벌법,"3,908","1,648",59,"1,102",487,0,0,0,0,"1,879",444,"1,059",0,376,192,189,0
219,2018년,특별법범,주민등록법,주민등록법,주민등록법,"2,250",460,6,61,393,225,0,0,0,"1,407",874,422,0,111,150,8,0
220,2018년,특별법범,주차장법,주차장법,주차장법,332,195,0,9,186,0,0,0,0,137,49,84,0,4,0,0,0
221,2018년,특별법범,주택법,주택법,주택법,"1,912","1,415",12,46,"1,357",0,0,0,0,487,124,353,3,7,9,1,0
222,2018년,특별법범,직업안정법,직업안정법,직업안정법,551,406,11,77,318,0,0,0,0,126,38,78,0,10,13,6,0
223,2018년,특별법범,집회및시위에관한법률,집회및시위에관한법률,집회및시위에관한법률,360,131,4,57,70,0,0,0,0,219,79,137,1,2,10,0,0
224,2018년,특별법범,청소년보호법,청소년보호법,청소년보호법,"10,237","3,389",3,59,"3,327",132,0,0,0,"6,661","4,207","2,419",0,35,50,5,0
225,2018년,특별법범,총포·도검·화약류등의안전관리에관한법률,총포·도검·화약류등의안전관리에관한법률,총포·도검·화약류등의안전관리에관한법률,442,149,4,14,131,2,0,0,0,281,181,89,2,9,10,0,0
226,2018년,특별법범,최저임금법,최저임금법,최저임금법,440,186,0,8,178,0,0,0,0,243,134,84,0,25,11,0,0
227,2018년,특별법범,축산물위생관리법,축산물위생관리법,축산물위생관리법,729,441,2,20,419,0,0,0,0,287,197,73,0,17,1,0,0
228,2018년,특별법범,출입국관리법,출입국관리법,출입국관리법,"3,687","2,388",106,499,"1,783",0,0,0,0,"1,173",697,222,3,251,120,6,0
229,2018년,특별법범,통신비밀보호법,통신비밀보호법,통신비밀보호법,274,82,5,56,21,0,0,0,0,190,55,133,2,0,2,0,0
230,2018년,특별법범,특가법(도주차량),특가법(도주차량),특가법(도주차량),"3,500","2,057",64,"1,206",787,29,0,0,0,"1,322",245,901,1,175,91,1,0
231,2018년,특별법범,특허법,특허법,특허법,306,15,0,4,11,0,0,0,0,276,5,176,0,95,15,0,0
232,2018년,특별법범,폐기물관리법,폐기물관리법,폐기물관리법,"2,307","1,472",23,241,"1,208",0,0,0,0,761,284,441,0,36,61,13,0
233,2018년,특별법범,풍속영업의규제에관한법률,풍속영업의규제에관한법률,풍속영업의규제에관한법률,217,140,0,12,128,0,0,0,0,77,35,37,0,5,0,0,0
234,2018년,특별법범,하천법,하천법,하천법,280,168,0,21,147,0,0,0,0,111,58,46,0,7,1,0,0
235,2018년,특별법범,학교보건법,학교보건법,학교보건법,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
236,2018년,특별법범,학원의설립운영및과외교습에관한법률,학원의설립운영및과외교습에관한법률,학원의설립운영및과외교습에관한법률,533,258,0,4,254,0,0,0,0,275,218,53,0,4,0,0,0
237,2018년,특별법범,예비군법,예비군법,예비군법,"7,482","5,709",6,264,"5,439",0,0,0,0,871,464,287,0,120,902,0,0
238,2018년,특별법범,화물자동차운수사업법,화물자동차운수사업법,화물자동차운수사업법,"3,266","1,944",0,10,"1,934",0,0,0,0,"1,309",683,585,0,41,10,3,0
239,2018년,특별법범,화재로인한재해보상과보험가입에관한법률,화재로인한재해보상과보험가입에관한법률,화재로인한재해보상과보험가입에관한법률,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
240,2018년,특별법범,화학물질관리법,화학물질관리법,화학물질관리법,691,445,58,77,310,52,0,0,0,187,135,49,0,3,6,1,0
241,2018년,특별법범,기타특별법,기타특별법,기타특별법,"50,391","30,135",722,"8,050","21,363",121,26,0,25,"18,799","8,430","9,259",29,"1,081","1,144",141,0
